"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.765973501E0,-5.402877927E-2,7.792329788E-2,-7.155656815E-2
1.770973501E0,-2.155506611E-2,3.993892670E-2,-8.411312103E-2
1.775973501E0,-1.548364758E-2,-1.851081848E-3,-8.459138870E-2
1.780973501E0,7.673531771E-3,-2.549695969E-2,-7.728767395E-2
1.785973501E0,2.604687214E-2,-6.655740738E-2,-3.825998306E-2
1.790973501E0,6.868416071E-2,-6.922292709E-2,-5.353832245E-2
1.795973501E0,1.190706193E-1,-5.907106400E-2,-7.832336426E-2
1.800973501E0,1.415795982E-1,-4.916095734E-2,-1.771836281E-1
1.805973501E0,1.197202802E-1,-5.178260803E-2,-2.613964081E-1
1.810973501E0,1.025317907E-1,-2.100324631E-2,-2.787494659E-1
1.815973501E0,6.160232425E-2,-3.619194031E-3,-2.555022240E-1
1.820973501E0,-8.458465338E-3,4.952573776E-2,-2.026729584E-1
1.825973501E0,-5.665665865E-2,8.227682114E-2,-1.392807961E-1
1.830973501E0,-8.164918423E-2,9.798431396E-2,-8.782863617E-2
1.835973501E0,-9.362518787E-2,9.488105774E-2,-3.946971893E-2
1.840973501E0,-7.504940033E-2,1.004467010E-1,2.048587799E-2
1.845973501E0,-7.218500972E-2,9.082508087E-2,9.670305252E-2
1.850973501E0,-7.251811028E-2,8.668851852E-2,1.506905556E-1
1.855973501E0,-8.841186762E-2,6.301784515E-2,1.817259789E-1
1.860973501E0,-4.752740264E-2,1.965379715E-2,2.170343399E-1
1.865973501E0,-2.827173471E-2,-1.840114594E-3,2.266421318E-1
1.870973501E0,-2.374804020E-2,-9.491920471E-3,2.102274895E-1
